A,G,N1,N2,M,T
0.9,2.1,-10.0,19.0,509.0,22.7
0.9,2.16,-10.0,18.8,509.0,22.7
0.9,1.59,-9.6,19.2,509.0,22.7
0.9,1.84,-10.3,19.0,508.0,22.7
0.89,2.13,-10.3,19.0,509.0,22.7
0.9,2.13,-10.1,18.8,509.0,22.7
0.89,1.81,-9.8,19.4,509.0,22.7
0.9,2.36,-10.1,19.3,508.0,22.8
0.9,1.31,-9.5,19.1,508.0,22.7
0.9,1.98,-10.2,18.8,508.0,22.7
0.9,1.82,-10.0,19.2,509.0,22.7
0.89,1.96,-10.1,19.3,508.0,22.7
0.89,2.12,-9.9,19.4,508.0,22.8
0.9,2.06,-10.1,19.1,509.0,22.7
0.9,1.92,-10.1,18.9,508.0,22.7
0.9,2.04,-9.8,18.9,508.0,22.7
0.92,2.04,-10.1,18.8,508.0,22.7
0.9,1.72,-10.2,19.3,509.0,22.7
0.9,1.86,-10.1,19.2,508.0,22.7
0.9,1.9,-10.0,19.5,509.0,22.7
0.9,2.41,-10.0,19.2,508.0,22.7
0.89,2.7,-10.6,19.4,508.0,22.7
0.89,1.93,-10.5,19.1,508.0,22.7
0.89,1.99,-9.7,19.3,509.0,22.8
0.9,2.4,-10.0,19.1,508.0,22.7
0.9,2.01,-10.0,19.1,509.0,22.7
0.9,1.67,-9.7,19.2,508.0,22.7
0.9,2.02,-9.7,19.2,508.0,22.7
0.9,1.74,-9.7,19.2,508.0,22.7
0.9,2.06,-10.1,19.1,508.0,22.7
0.89,2.11,-10.1,19.1,508.0,22.7
0.9,1.85,-10.5,19.2,508.0,22.7
0.9,1.85,-9.8,18.9,508.0,22.7
0.89,1.85,-10.4,18.9,508.0,22.7
0.9,2.19,-10.9,18.8,508.0,22.7
0.89,2.58,-9.9,19.5,508.0,22.7
0.91,1.57,-10.6,19.1,508.0,22.7
0.89,2.58,-10.2,18.6,509.0,22.7
0.89,1.48,-10.6,18.8,508.0,22.7
0.91,1.95,-10.0,18.8,508.0,22.7
0.9,1.82,-10.2,19.0,508.0,22.7
0.89,2.11,-10.1,19.3,509.0,22.7
0.9,1.81,-9.9,19.2,508.0,22.7
0.9,1.59,-9.7,19.5,508.0,22.7
0.89,2.07,-9.9,19.6,508.0,22.7
0.89,1.94,-9.9,19.6,508.0,22.7
0.89,1.8,-10.1,19.1,508.0,22.7
0.89,1.8,-10.3,19.4,508.0,22.7
0.9,1.9,-10.3,19.4,508.0,22.7
0.9,1.91,-9.9,19.5,508.0,22.7
