A,G,N1,N2,M,T
0.9,1.72,-6.3,12.0,509.0,22.6
0.9,1.55,-6.1,11.8,509.0,22.6
0.9,1.83,-6.3,11.6,509.0,22.6
0.91,2.05,-5.9,12.5,509.0,22.6
0.9,1.97,-6.6,11.8,509.0,22.6
0.9,2.34,-5.6,12.3,509.0,22.6
0.91,1.75,-5.9,12.3,509.0,22.6
0.89,2.3,-6.1,13.1,508.0,22.6
0.9,1.96,-6.4,11.4,509.0,22.6
0.9,1.7,-6.6,12.1,509.0,22.6
0.9,2.13,-5.4,12.4,509.0,22.6
0.9,2.29,-6.2,12.3,509.0,22.6
0.9,2.11,-5.9,12.2,509.0,22.6
0.9,1.74,-6.3,11.6,509.0,22.6
0.9,1.96,-6.3,11.9,509.0,22.6
0.9,1.76,-6.0,11.6,509.0,22.6
0.9,1.76,-6.3,11.9,509.0,22.6
0.9,1.76,-5.9,11.7,509.0,22.6
0.9,1.94,-6.5,12.1,508.0,22.6
0.9,1.85,-6.4,11.9,509.0,22.6
0.9,1.46,-6.3,12.1,509.0,22.6
0.9,1.85,-6.2,12.3,509.0,23.6
0.91,2.03,-6.2,12.2,508.0,22.6
0.91,2.03,-6.2,12.2,508.0,22.6
0.9,2.1,-6.4,11.7,509.0,22.6
0.9,1.98,-7.0,11.9,509.0,22.6
0.9,1.93,-6.3,11.7,509.0,22.6
0.89,2.03,-6.4,12.1,508.0,22.6
0.91,1.71,-5.9,11.9,509.0,22.6
0.9,1.71,-6.2,11.8,509.0,22.6
0.9,1.87,-6.0,12.0,509.0,22.6
0.9,1.68,-5.9,12.0,509.0,22.6
0.9,1.86,-5.8,12.4,509.0,22.6
0.9,2.04,-6.1,12.2,508.0,22.6
0.91,1.99,-6.2,11.9,508.0,22.6
0.89,1.87,-6.1,12.2,509.0,22.6
0.9,1.64,-6.3,12.3,509.0,23.6
0.91,1.71,-5.9,11.6,509.0,22.6
0.9,2.15,-6.1,12.2,509.0,22.6
0.91,1.97,-6.2,11.8,508.0,22.6
0.9,1.8,-6.1,12.1,509.0,22.6
0.9,1.88,-6.0,11.9,508.0,22.6
0.89,2.03,-6.4,12.1,509.0,22.6
0.9,2.18,-6.5,11.7,509.0,22.6
0.9,1.89,-5.9,11.6,509.0,22.6
0.9,2.04,-6.1,12.5,509.0,22.6
0.89,1.87,-6.2,11.9,509.0,22.6
0.9,2.01,-6.4,12.0,508.0,22.6
0.9,4.31,-7.0,10.3,508.0,22.6
0.9,1.73,-6.0,12.3,508.0,22.6
0.91,2.2,-6.3,11.9,508.0,22.6
0.9,1.67,-6.2,12.2,508.0,22.6
0.9,2.08,-6.1,12.2,508.0,22.6
0.9,1.63,-6.1,12.2,409.0,22.6
0.91,1.83,-6.1,12.0,509.0,22.6
0.9,1.86,-5.6,12.1,509.0,22.6
0.91,2.01,-6.4,12.0,508.0,22.6
0.9,1.95,-5.8,12.2,509.0,22.6
0.9,1.83,-6.2,11.9,508.0,22.6
0.91,1.84,-6.1,11.9,509.0,22.6
0.9,1.85,-6.6,12.3,509.0,22.6
0.9,1.88,-6.4,11.9,509.0,22.6
0.9,1.76,-6.4,11.9,509.0,22.6
0.9,2.02,-6.0,11.8,509.0,22.6
0.9,1.9,-6.3,12.4,508.0,22.6
0.91,2.21,-6.2,11.7,509.0,22.6
0.9,2.09,-6.7,11.9,509.0,22.6
0.91,1.86,-6.0,12.0,509.0,22.6
0.91,1.88,-5.8,12.0,509.0,22.6
0.91,1.93,-6.3,11.9,509.0,22.6
0.9,1.58,-6.1,12.3,509.0,22.6
0.9,1.61,-6.7,12.4,509.0,22.6
0.9,1.61,-6.1,11.9,508.0,22.6
0.9,2.01,-6.0,11.9,508.0,22.6
0.9,2.1,-6.7,12.0,509.0,22.6
0.9,1.8,-5.9,12.1,508.0,22.6
0.9,2.12,-6.0,11.8,509.0,22.6
0.9,1.74,-6.1,12.0,509.0,22.6
0.9,1.77,-5.8,11.8,509.0,22.6
0.9,1.81,-6.1,11.8,509.0,22.6
0.9,2.07,-6.2,11.9,509.0,22.6
0.91,1.85,-6.0,12.0,509.0,22.6
0.9,1.98,-6.0,10.7,508.0,22.6
0.89,1.88,-6.4,12.0,509.0,22.6
0.9,1.76,-5.7,11.9,508.0,22.6
0.9,1.93,-6.2,12.1,508.0,22.6
0.9,2.25,-6.5,11.3,508.0,22.6
0.9,1.66,-6.6,11.9,508.0,22.6
0.9,1.97,-6.0,12.1,509.0,22.6
0.9,1.8,-6.0,11.8,508.0,22.6
0.9,1.81,-6.1,11.9,509.0,22.6
0.91,1.9,-6.6,12.0,509.0,22.6
0.9,2.05,-6.6,12.0,509.0,22.6
0.91,2.05,-5.8,12.1,508.0,22.6
0.9,1.98,-5.7,12.4,509.0,22.6
0.91,1.99,-6.0,11.7,508.0,22.6
0.91,1.84,-6.4,11.8,508.0,22.6
0.9,1.87,-6.1,11.9,508.0,22.6
0.9,2.04,-6.2,12.1,509.0,22.6
0.9,1.89,-6.3,12.2,509.0,22.6
0.91,1.87,-5.8,11.8,509.0,22.6
0.9,2.18,-5.7,12.5,508.0,22.6
0.9,1.67,-5.7,12.5,509.0,22.6
0.9,2.26,-5.8,12.0,509.0,22.6
0.89,1.96,-5.8,12.0,508.0,22.6
0.9,1.87,-5.6,12.2,509.0,23.6
0.9,2.09,-6.4,11.9,509.0,22.6
0.9,1.83,-6.1,12.3,509.0,22.6
0.89,1.88,-6.5,12.1,509.0,22.6
0.9,2.21,-6.4,11.7,509.0,22.6
0.9,2.24,-6.3,12.0,509.0,22.6
0.9,2.03,-5.9,12.1,509.0,22.6
0.89,1.75,-6.0,12.1,509.0,22.6
0.9,1.75,-6.4,12.3,509.0,22.6
0.91,1.76,-6.4,12.3,509.0,22.6
0.9,1.74,-6.1,11.8,509.0,21.6
0.9,1.62,-6.1,11.8,509.0,22.6
0.9,1.94,-6.5,12.0,509.0,22.6
0.9,1.61,-6.3,11.7,509.0,22.6
0.91,2.14,-5.9,12.1,508.0,22.5
0.9,2.0,-5.4,12.0,509.0,22.5
0.9,2.03,-6.0,11.7,509.0,22.6
0.89,1.85,-6.1,13.1,509.0,22.6
0.9,1.87,-6.2,11.8,508.0,22.6
0.9,2.03,-6.3,11.8,509.0,22.6
0.9,1.79,-6.4,11.8,509.0,22.6
0.9,2.02,-6.0,12.1,509.0,22.6
0.9,1.95,-6.1,12.0,509.0,22.6
0.9,1.87,-7.1,12.0,509.0,22.6
0.9,2.03,-6.2,12.0,509.0,22.5
0.91,2.21,-6.0,12.0,508.0,22.6
0.9,2.21,-6.1,11.3,508.0,22.6
0.9,1.66,-6.7,11.7,509.0,22.6
0.91,1.84,-6.1,12.1,509.0,22.6
0.9,0.86,-5.7,12.2,509.0,22.6
0.9,1.88,-6.0,12.0,509.0,22.6
0.91,1.77,-6.0,12.1,509.0,22.6
0.89,2.15,-5.9,12.2,509.0,22.6
0.9,1.83,-6.3,12.4,508.0,22.6
0.9,2.09,-5.7,12.2,509.0,22.6
0.9,1.97,-5.9,12.3,509.0,22.6
0.9,2.0,-6.1,12.4,509.0,22.6
0.91,2.0,-6.1,12.1,509.0,22.6
0.9,1.97,-5.8,12.2,509.0,22.6
0.9,1.97,-6.3,11.9,509.0,22.6
0.9,2.15,-6.2,12.1,509.0,22.6
0.9,2.01,-6.0,11.9,509.0,22.6
0.9,1.98,-6.6,11.8,509.0,22.6
0.9,1.83,-6.6,11.8,509.0,22.6
0.9,2.05,-6.1,11.9,509.0,22.6
0.9,1.86,-6.1,11.9,509.0,22.6
0.91,1.82,-6.0,11.7,509.0,22.6
0.9,1.87,-6.1,12.1,509.0,22.6
0.91,1.74,-6.2,11.8,509.0,22.6
0.9,2.01,-6.2,11.9,509.0,22.6
0.9,1.82,-6.2,11.9,509.0,22.6
0.9,1.82,-5.8,11.8,509.0,22.6
0.91,1.88,-5.8,11.8,509.0,22.6
0.91,1.88,-5.9,12.3,509.0,22.5
0.89,1.7,-5.9,12.1,509.0,22.6
0.9,2.01,-6.1,11.9,509.0,22.6
0.9,2.03,-6.4,11.8,509.0,22.6
0.91,1.81,-6.2,12.4,509.0,22.6
0.9,1.97,-6.5,12.1,509.0,22.6
0.89,1.67,-5.8,12.3,509.0,22.6
0.91,1.92,-6.0,12.2,509.0,22.6
0.91,1.89,-5.7,12.1,509.0,22.6
0.9,1.84,-5.9,12.1,509.0,22.6
0.9,1.97,-5.8,12.1,509.0,22.6
0.9,1.97,-6.4,12.1,508.0,22.6
0.9,1.94,-6.4,12.1,509.0,22.6
0.9,1.89,-6.3,12.2,508.0,22.6
0.9,1.88,-6.2,12.0,509.0,22.6
0.9,2.02,-5.8,11.9,509.0,22.5
0.91,2.12,-6.3,11.9,509.0,22.6
0.9,1.86,-5.7,11.7,509.0,22.6
0.9,1.9,-6.0,12.3,509.0,22.5
0.9,1.9,-6.0,12.0,509.0,22.6
0.9,2.18,-6.2,11.7,509.0,22.6
0.9,1.9,-6.1,11.5,509.0,22.6
0.9,2.1,-6.4,12.1,509.0,22.6
0.91,1.73,-6.4,11.8,509.0,22.5
0.89,1.76,-7.1,12.1,509.0,22.6
0.9,1.7,-6.3,11.6,509.0,22.5
0.91,1.73,-6.3,11.6,509.0,22.6
0.9,1.81,-6.3,12.0,509.0,23.6
0.91,1.65,-6.0,11.8,509.0,22.5
0.9,1.95,-6.1,12.0,509.0,22.6
0.91,1.91,-6.3,11.8,509.0,22.5
0.9,1.95,-5.8,12.1,509.0,22.6
0.9,1.03,-6.2,11.6,509.0,22.5
0.89,1.8,-5.6,11.9,509.0,22.5
0.91,1.97,-5.8,11.6,508.0,22.5
0.9,1.99,-5.9,12.2,509.0,22.5
0.9,2.16,-6.2,12.2,508.0,22.5
0.91,2.16,-5.8,12.1,508.0,22.5
0.91,1.8,-6.1,12.1,509.0,22.6
0.9,2.01,-6.1,12.1,509.0,22.5
0.9,1.93,-6.6,11.5,509.0,22.6
0.9,1.94,-6.1,12.4,509.0,22.5
0.9,1.94,-5.7,11.8,508.0,22.5
0.9,2.13,-6.3,12.0,509.0,22.5
0.9,1.95,-6.0,12.3,509.0,22.5
0.9,1.97,-5.7,12.0,509.0,22.5
0.91,1.96,-6.2,12.0,510.0,22.6
0.9,1.98,-6.2,12.2,509.0,22.5
0.9,1.99,-6.1,12.0,509.0,22.6
0.9,1.84,-5.8,12.3,509.0,22.5
0.9,1.86,-6.1,11.6,509.0,22.4
0.9,1.56,-6.2,11.7,509.0,22.5
0.89,2.05,-6.1,11.9,509.0,22.5
0.89,1.51,-5.5,12.0,509.0,22.5
0.9,2.51,-6.2,12.5,509.0,22.6
0.91,2.35,-5.5,12.4,509.0,22.5
0.91,1.94,-5.5,12.4,509.0,22.5
0.9,2.0,-6.1,11.8,509.0,22.6
0.9,2.0,-6.0,12.4,509.0,22.5
0.9,1.89,-6.0,12.4,509.0,22.5
0.9,1.93,-6.2,11.6,509.0,22.5
0.9,2.33,-6.3,11.7,509.0,22.5
0.9,1.87,-6.5,11.7,509.0,22.5
0.9,2.05,-6.1,11.9,509.0,22.5
0.9,2.0,-6.5,11.6,509.0,22.5
0.9,1.94,-6.1,12.2,509.0,22.5
0.9,1.94,-5.9,12.1,509.0,22.5
0.9,2.14,-6.3,12.0,509.0,22.5
0.9,1.79,-6.5,12.1,509.0,22.5
0.89,1.86,-6.0,11.9,509.0,22.5
0.89,1.8,-6.0,11.8,509.0,22.5
0.89,2.05,-5.9,12.0,509.0,22.5
0.9,2.06,-5.9,12.0,509.0,22.5
0.9,2.06,-6.8,12.0,509.0,22.5
0.9,1.96,-5.8,12.2,509.0,22.5
0.89,2.47,-6.7,12.1,509.0,22.5
0.9,2.47,-6.4,12.4,509.0,22.5
0.9,2.21,-6.4,12.4,509.0,22.5
0.9,1.74,-6.4,11.8,509.0,22.5
0.9,2.14,-6.0,12.1,509.0,32.5
0.9,1.89,-6.1,12.3,509.0,22.5
0.9,2.04,-6.0,11.7,509.0,22.5
0.91,1.63,-6.1,11.7,509.0,22.5
0.91,1.63,-6.0,12.1,509.0,22.5
0.9,2.03,-6.2,11.9,509.0,22.5
0.9,1.91,-5.8,11.9,509.0,22.5
0.89,1.94,-5.8,11.9,509.0,22.5
0.9,1.92,-6.4,11.9,509.0,22.5
0.9,2.04,-5.8,11.7,508.0,22.5
0.9,2.08,-6.1,11.8,509.0,22.5
0.9,1.91,-6.3,12.2,509.0,22.5
0.91,1.89,-5.8,11.9,509.0,22.5
0.91,2.05,-5.8,12.4,509.0,22.5
0.9,2.01,-5.8,12.4,509.0,22.5
0.9,3.4,-5.7,12.4,509.0,22.4
0.9,2.0,-6.7,11.1,509.0,22.5
0.9,2.22,-5.8,12.2,509.0,22.5
0.9,1.69,-6.1,12.0,509.0,22.5
0.91,2.16,-6.3,12.1,409.0,22.5
0.9,1.99,-5.9,11.9,509.0,22.5
0.89,2.57,-6.5,12.1,509.0,22.5
0.9,1.96,-6.3,11.7,509.0,22.5
0.9,2.07,-5.9,12.3,509.0,22.5
0.9,1.85,-5.8,12.3,509.0,22.5
0.9,1.85,-6.0,12.3,509.0,22.5
0.91,1.96,-6.2,12.0,509.0,22.5
0.9,1.93,-6.4,12.1,509.0,22.5
0.9,2.14,-6.2,12.1,509.0,22.5
0.9,2.37,-6.2,12.1,509.0,22.5
0.9,1.85,-6.2,11.9,509.0,22.5
0.9,1.78,-6.2,11.9,509.0,22.5
0.9,2.06,-6.2,12.0,509.0,22.5
0.9,2.06,-6.4,12.0,509.0,22.5
0.9,1.94,-6.8,12.3,509.0,22.5
0.91,2.28,-6.7,11.8,509.0,22.5
0.89,1.69,-5.9,12.3,509.0,22.5
0.9,1.74,-5.9,12.0,509.0,22.5
0.91,1.88,-5.8,12.2,509.0,22.5
0.9,1.79,-6.2,12.1,509.0,22.5
0.89,1.78,-6.2,12.1,509.0,32.5
0.9,1.85,-6.3,11.5,509.0,22.5
0.9,1.93,-6.0,12.1,509.0,22.5
0.9,1.89,-6.0,12.1,509.0,22.5
0.91,1.99,-5.9,12.0,509.0,22.5
0.9,1.99,-6.1,11.7,509.0,23.5
0.89,1.8,-6.2,11.9,509.0,22.5
0.89,3.98,-7.2,11.1,509.0,22.5
0.9,1.87,-5.8,11.8,509.0,22.5
0.9,1.71,-5.9,12.2,509.0,22.5
0.91,1.86,-5.9,12.2,509.0,22.5
0.9,1.88,-6.2,12.2,509.0,22.5
0.9,1.73,-6.0,12.0,509.0,22.5
0.9,1.9,-6.2,12.1,509.0,22.5
0.9,1.9,-5.9,12.4,509.0,22.5
0.9,1.92,-6.0,11.7,509.0,22.5
0.9,1.92,-5.8,12.3,509.0,22.5
0.89,1.9,-5.8,12.3,509.0,22.5
0.9,1.94,-6.4,11.7,509.0,22.5
0.9,1.65,-5.5,12.2,509.0,22.5
0.9,2.03,-6.3,12.2,509.0,22.5
0.9,1.91,-6.0,12.2,509.0,22.5
0.89,1.68,-6.8,12.1,508.0,22.5
0.9,1.68,-5.8,11.8,509.0,22.5
0.89,1.9,-6.1,12.1,509.0,22.5
0.9,1.9,-6.4,12.2,509.0,22.5
0.91,1.95,-6.3,12.0,509.0,22.5
0.9,1.96,-6.1,12.0,509.0,22.5
0.9,1.96,-6.1,12.0,509.0,22.5
0.9,2.29,-5.8,12.1,509.0,22.5
0.91,1.9,-6.3,11.6,509.0,22.5
0.91,1.92,-6.2,12.0,509.0,22.5
0.9,2.12,-6.2,11.9,509.0,22.5
0.91,2.12,-6.7,11.9,509.0,22.5
0.9,2.18,-5.8,12.6,509.0,22.5
0.91,2.09,-3.2,11.7,509.0,22.5
0.9,1.94,-5.5,12.2,509.0,22.5
0.89,1.81,-6.7,11.6,509.0,22.5
0.9,1.67,-6.1,11.7,509.0,22.5
0.91,1.76,-6.3,11.3,509.0,22.5
0.9,1.73,-5.7,12.0,509.0,22.5
0.89,1.95,-6.9,10.9,509.0,22.5
0.89,2.36,-6.9,10.9,509.0,22.5
0.9,1.93,-6.0,12.4,509.0,22.5
0.89,1.88,-5.8,12.0,509.0,22.5
0.9,2.01,-6.3,12.0,509.0,22.5
0.9,2.02,-6.3,11.0,509.0,22.5
0.9,1.35,-6.4,10.9,509.0,22.5
0.9,2.02,-6.2,11.8,509.0,22.5
0.9,1.97,-5.9,11.7,509.0,22.5
0.89,2.01,-6.1,12.1,509.0,22.5
0.9,2.07,-6.1,12.1,509.0,22.5
0.89,2.91,-6.1,12.1,509.0,22.5
0.9,2.65,-5.8,12.4,509.0,12.5
0.9,1.83,-6.2,11.8,509.0,22.5
0.9,1.74,-6.1,11.8,509.0,22.5
0.91,2.66,-5.8,12.2,509.0,22.5
0.9,2.67,-6.1,12.3,509.0,22.5
0.9,1.83,-5.3,12.2,508.0,22.5
0.9,2.23,-5.3,12.2,509.0,22.5
0.91,1.97,-6.4,11.7,509.0,22.5
0.9,1.86,-6.0,11.9,509.0,22.5
0.9,2.0,-6.0,12.2,509.0,22.5
0.89,1.72,-6.0,12.0,509.0,22.5
0.9,1.83,-6.2,12.1,509.0,22.5
0.9,1.76,-6.2,12.0,509.0,22.5
0.89,1.83,-6.7,11.9,509.0,22.5
0.9,1.88,-6.5,12.0,509.0,22.5
0.91,2.01,-5.7,12.1,509.0,22.5
0.91,2.09,-6.2,12.2,509.0,22.5
0.91,2.21,-5.9,12.1,508.0,22.5
0.9,1.94,-6.4,11.5,508.0,22.5
0.9,1.92,-6.2,12.4,509.0,22.5
0.9,1.95,-5.9,11.9,509.0,22.5
0.9,1.69,-6.2,12.0,509.0,22.5
0.89,1.78,-6.0,12.0,509.0,22.5
0.9,1.97,-6.3,12.0,509.0,22.5
0.9,1.83,-5.8,11.8,509.0,22.5
0.9,1.89,-6.5,12.2,509.0,22.5
0.9,1.85,-6.5,12.2,509.0,22.5
0.9,1.85,-6.2,12.2,509.0,22.5
0.91,1.89,-6.4,12.3,509.0,22.5
0.9,1.79,-6.4,11.8,509.0,22.5
0.9,1.89,-6.3,11.8,509.0,22.5
0.9,1.74,-5.9,12.2,509.0,22.5
0.91,2.02,-6.2,11.8,509.0,22.5
0.9,1.75,-6.0,12.0,509.0,22.5
0.9,1.75,-6.1,12.0,509.0,22.5
0.9,2.08,-6.1,12.0,509.0,22.5
0.89,2.11,-6.1,12.0,509.0,22.5
0.9,1.77,-6.1,12.0,509.0,22.5
0.9,1.83,-6.3,12.3,509.0,22.5
0.9,1.83,-6.3,12.3,509.0,22.5
0.9,2.02,-6.3,12.3,509.0,22.5
0.89,1.92,-6.3,11.2,509.0,22.5
0.91,1.91,-6.2,11.8,509.0,22.5
0.91,1.81,-6.2,11.6,509.0,22.5
0.9,1.93,-6.0,12.1,509.0,22.5
0.89,1.73,-6.2,11.9,509.0,22.5
0.91,1.93,-5.8,12.0,509.0,22.5
0.9,1.96,-6.1,12.0,509.0,22.5
0.91,2.05,-6.1,12.0,509.0,22.5
0.9,1.97,-5.8,11.6,509.0,22.5
0.9,1.64,-5.9,12.2,509.0,22.5
0.9,2.03,-5.9,12.2,509.0,22.5
0.91,1.95,-6.0,11.9,509.0,22.5
0.9,1.7,-6.2,12.3,509.0,22.5
0.9,1.87,-6.0,11.9,509.0,22.5
0.9,2.0,-6.0,12.3,509.0,22.5
0.91,1.88,-7.2,12.0,509.0,22.5
0.9,2.0,-6.3,11.9,510.0,22.5
0.9,1.76,-5.8,11.5,508.0,22.5
0.9,2.0,-5.8,11.5,509.0,22.5
0.9,1.86,-6.1,12.3,509.0,22.5
0.9,1.85,-6.3,11.7,509.0,22.5
0.9,1.77,-6.2,12.3,509.0,22.5
0.91,1.83,-6.5,11.9,509.0,22.5
0.91,1.83,-7.4,12.9,509.0,22.5
0.91,1.76,-6.1,12.1,509.0,22.5
0.91,1.99,-6.2,12.0,509.0,22.5
0.9,1.96,-6.2,12.0,509.0,22.5
0.9,2.06,-6.2,11.9,509.0,22.5
0.9,2.0,-5.8,12.0,509.0,22.5
0.9,1.69,-5.9,11.8,509.0,22.5
0.9,2.18,-6.2,12.0,509.0,22.5
0.9,2.08,-5.9,11.7,509.0,22.5
0.9,2.08,-6.5,11.6,509.0,22.5
0.89,2.02,-6.0,11.7,509.0,22.5
0.9,1.82,-6.3,11.8,509.0,22.5
0.9,2.02,-6.5,12.2,509.0,22.5
0.97,41.56,-14.8,28.7,509.0,22.5
0.9,41.56,-32.4,25.9,509.0,22.5
0.98,39.11,-77.3,-4.1,509.0,22.5
0.97,3.44,-75.1,-6.9,509.0,22.5
0.98,8.58,-74.5,-6.3,509.0,22.5
0.96,3000.0,-85.5,-4.2,509.0,22.5
0.96,2.77,-85.1,-4.6,509.0,22.5
1.04,135.26,-85.1,-4.6,509.0,22.5
0.97,20.52,-5.4,9.2,509.0,22.5
0.9,7.47,-27.8,4.9,509.0,22.5
0.89,1.9,-26.7,5.0,509.0,22.5
0.9,1.74,-26.7,5.1,509.0,22.5
0.9,2.06,-25.9,5.8,509.0,22.5
0.89,2.03,-25.8,5.4,509.0,22.5
0.89,1.88,-25.7,5.4,509.0,22.5
0.9,1.81,-25.4,5.7,509.0,22.5
0.9,2.26,-25.3,5.4,509.0,22.5
0.9,1.92,-25.8,5.3,509.0,22.5
0.9,1.92,-25.1,5.4,509.0,23.5
0.89,1.77,-24.9,5.7,509.0,22.5
0.9,1.78,-24.9,5.8,509.0,22.5
0.9,2.06,-25.1,5.7,510.0,22.5
0.9,1.97,-24.9,5.9,509.0,22.5
0.88,1.98,-24.9,5.9,509.0,22.5
0.89,1.74,-25.1,6.3,509.0,22.5
0.9,2.0,-24.9,5.9,409.0,22.5
0.89,1.84,-25.0,6.1,509.0,22.5
0.9,2.25,-25.1,5.6,509.0,22.5
0.89,2.22,-24.2,5.8,509.0,22.5
0.89,2.59,-24.9,5.6,509.0,22.5
0.89,2.05,-25.0,5.6,509.0,22.5
0.89,1.59,-24.8,5.9,509.0,22.5
0.9,1.79,-24.6,6.0,509.0,22.5
0.89,1.81,-24.5,5.8,509.0,22.5
0.9,2.27,-24.4,5.6,509.0,22.5
0.9,1.79,-24.7,5.6,509.0,22.5
0.9,1.95,-24.5,5.6,509.0,22.5
0.89,1.95,-24.5,5.9,509.0,23.5
0.89,1.98,-24.7,5.8,509.0,22.5
0.9,1.85,-24.5,5.5,509.0,22.6
0.9,1.71,-24.2,5.2,509.0,22.5
0.89,1.89,-24.6,5.7,509.0,22.5
0.9,2.04,-24.4,5.6,509.0,22.5
0.9,1.97,-24.2,5.9,509.0,22.5
0.9,2.01,-24.1,5.4,509.0,22.5
0.89,1.9,-24.6,5.9,509.0,22.6
0.9,1.71,-24.3,5.9,509.0,22.5
0.9,2.12,-25.0,6.1,509.0,22.5
0.89,1.86,-25.0,6.1,509.0,22.5
0.89,2.21,-25.0,6.1,509.0,22.5
0.9,1.75,-24.3,6.0,509.0,22.5
0.9,1.93,-24.4,6.1,509.0,22.5
0.9,1.99,-24.2,5.7,509.0,22.5
0.89,1.93,-24.5,5.6,509.0,22.5
0.89,1.9,-24.7,5.5,509.0,22.5
0.89,1.91,-24.8,5.3,509.0,22.5
0.9,1.94,-24.6,5.5,509.0,22.5
0.89,1.75,-24.8,5.6,509.0,22.5
0.89,1.67,-24.3,5.9,509.0,22.5
0.9,1.83,-24.2,5.5,509.0,22.5
0.89,2.08,-94.5,6.0,509.0,22.5
0.9,2.01,-24.2,5.6,509.0,22.5
0.89,1.91,-24.0,5.5,509.0,22.5
0.9,1.97,-24.5,5.7,509.0,22.5
0.89,2.82,-26.8,4.5,509.0,22.5
0.9,2.82,-23.8,5.3,509.0,22.5
0.89,1.95,-23.9,5.9,509.0,22.5
0.9,2.17,-24.2,5.2,509.0,22.5
0.9,1.8,-24.4,6.1,509.0,22.5
0.9,1.79,-24.6,5.9,509.0,22.5
0.89,2.12,-24.5,5.7,509.0,22.5
0.9,1.88,-24.5,5.7,509.0,22.5
0.89,1.87,-24.4,5.7,509.0,22.6
0.89,1.63,-24.1,5.7,509.0,22.5
0.9,2.14,-24.3,5.6,509.0,22.5
0.89,1.82,-24.1,5.9,509.0,22.5
0.89,1.89,-23.9,5.8,509.0,22.5
0.89,1.87,-23.8,5.8,509.0,22.5
0.9,1.81,-24.1,5.6,509.0,22.5
0.89,1.73,-24.4,5.5,509.0,22.5
0.9,1.98,-24.4,5.5,509.0,22.5
0.89,1.95,-24.1,5.6,509.0,22.5
0.89,2.21,-24.5,5.3,509.0,22.5
0.9,2.21,-24.3,5.8,509.0,22.5
0.89,1.85,-24.2,5.6,509.0,22.5
0.9,1.74,-24.4,5.4,509.0,22.5
0.89,1.39,-24.4,5.4,509.0,22.5
0.9,1.39,-24.2,5.9,509.0,23.5
0.89,1.9,-24.1,5.5,509.0,22.5
0.89,2.12,-24.2,5.8,509.0,22.5
0.89,1.91,-24.5,5.3,509.0,22.5
0.89,2.15,-24.1,5.6,509.0,22.5
0.89,1.88,-24.1,5.6,509.0,22.5
0.89,2.16,-24.4,5.8,509.0,22.5
0.89,2.0,-24.4,5.3,509.0,22.5
0.9,2.25,-23.6,5.9,509.0,22.5
0.89,2.55,-23.9,5.6,509.0,22.6
0.9,2.18,-24.3,5.5,509.0,22.5
0.89,2.26,-24.3,5.5,509.0,22.5
0.89,2.03,-24.4,5.6,509.0,22.5
0.89,1.79,-22.9,6.6,509.0,22.5
0.89,2.9,-22.9,6.6,509.0,22.5
0.9,2.25,-24.0,5.8,509.0,22.5
0.89,1.89,-24.2,5.6,509.0,22.5
0.9,1.89,-24.2,5.8,509.0,22.5
0.89,1.97,-24.1,5.7,509.0,22.6
0.89,1.89,-24.2,5.6,509.0,22.6
0.9,1.81,-24.0,5.5,509.0,22.5
0.9,2.05,-24.2,5.7,509.0,22.5
0.9,1.88,-24.2,5.2,509.0,22.5
0.89,2.07,-24.1,5.8,509.0,22.6
0.89,1.79,-24.5,5.8,509.0,22.6
0.89,1.79,-24.3,5.8,509.0,22.5
0.89,1.87,-23.7,5.4,509.0,22.6
0.9,1.89,-23.7,5.4,509.0,22.6
0.9,2.19,-24.1,5.7,509.0,22.6
0.91,2.02,-23.6,5.5,509.0,22.6
0.91,1.82,-23.6,5.5,509.0,22.6
0.9,2.11,-23.9,5.3,509.0,22.6
0.89,1.69,-23.8,5.0,509.0,22.6
0.9,1.94,-24.3,5.1,509.0,22.6
0.89,2.45,-24.0,5.7,509.0,22.6
0.89,2.41,-24.2,5.4,509.0,22.6
0.9,1.93,-24.3,5.2,509.0,22.6
0.89,2.23,-24.1,5.8,508.0,22.6
0.9,1.83,-24.1,5.8,509.0,22.6
0.9,1.69,-23.8,5.9,509.0,22.5
0.89,1.74,-23.9,6.0,509.0,22.6
0.9,0.82,-24.1,4.6,509.0,22.6
0.9,1.93,-23.7,5.7,509.0,22.6
0.89,1.88,-23.7,5.7,509.0,22.5
0.9,1.62,-24.4,5.5,509.0,22.5
0.89,1.77,-24.2,5.8,509.0,22.6
0.9,1.73,-23.6,5.7,509.0,22.6
0.9,1.93,-24.3,5.3,509.0,22.5
0.9,2.02,-24.3,5.3,509.0,22.5
0.9,1.97,-24.0,5.6,509.0,22.6
0.9,2.24,-23.7,6.0,509.0,22.5
0.89,2.81,-23.6,6.3,509.0,22.5
0.89,1.9,-24.0,5.6,508.0,22.5
0.89,2.06,-24.0,5.6,509.0,22.6
0.9,1.72,-24.0,5.2,508.0,22.6
0.89,2.08,-24.2,5.5,509.0,22.6
0.91,1.92,-23.8,5.5,508.0,22.5
0.9,1.56,-23.8,5.5,508.0,22.5
0.9,2.3,-23.9,5.5,509.0,22.6
0.8,1.78,-23.8,5.8,508.0,22.6
0.91,1.95,-23.3,5.8,508.0,22.5
0.9,1.58,-23.9,5.6,509.0,22.5
0.9,1.84,-23.8,5.7,509.0,22.6
0.91,2.07,-24.0,5.9,508.0,22.5
0.88,2.11,-24.3,5.4,509.0,22.5
